ID,Name,Latitude,Longitude
529,Cn529,26.8227,101.785
601,UsVaRichmond601,37.533,-77.5489
604,UsWaWsu604,46.7325,-117.172
620,UsIlChicago620,41.6116,-87.8543
621,UsMiWaynestate621,42.3314,-83.0458
623,UsFlLakeland623,28.049,-81.9321
647,UsArLittleRock647,34.6722,-92.4943
